run,epochs_done,final_train_loss,final_val_loss,final_top1,best_top1
train9,100,0.00147,0.01493,0.9823,1.0
train10,61,0.02359,0.21856,0.96386,0.9759
train7,21,0.0736,0.20723,0.94406,0.958
train15,100,0.01775,0.38809,0.92517,0.9337
train13,100,0.02637,0.35303,0.92261,0.9287
train11,100,0.02858,0.4074,0.91354,0.9251
train14,100,0.03282,0.51279,0.91039,0.9145
train18,100,0.05812,0.45756,0.89921,0.9089
train16,3,0.44659,0.35154,0.9,0.9
train12,100,0.02765,0.5554,0.86744,0.8876
train,1,1.63168,0.85315,0.80879,0.8088
train2,1,1.63168,0.85315,0.80879,0.8088
train4,1,1.63168,0.85315,0.80879,0.8088
train5,1,1.5704,0.85736,0.76864,0.7686
train6,1,1.72988,1.27994,0.60563,0.6056
